id;geopoint;country;landslide;fatalities;injuries;trigger;admin;sourcename;date;population;near
322;27.3765, 88.7628;India;Landslide;0;0;Downpour;Sikkim;www.indiatvnews.com;2013-06-27T09:00:00+02:00;30700;Gangtok
323;14.9847, 108.3348;Vietnam;Rockfall;2;0;Downpour;Qu???ng Ng??i;english.vietnamnet.vn;2013-11-15T09:00:00+01:00;0;S??n H??
324;27.425, 87.0569;Nepal;Landslide;1;0;Downpour;Eastern Region;;2009-09-19T09:00:00+02:00;22903;Kh?ndb?ri
325;-18.0208, 178.515;Fiji;Landslide;0;0;Rain;Central;www.monitor.co.ug;2013-01-08T09:00:00+01:00;77366;Suva
326;1.7519, -75.5829;Colombia;Landslide;4;0;Downpour;Caquet??;;2012-04-22T09:00:00+02:00;130337;Florencia
327;10.1067, -83.9753;Costa Rica;Rockfall;2;0;Downpour;Heredia;;2010-10-15T09:00:00+02:00;1355;?ngeles
328;6.9554, 80.9282;Sri Lanka;Mudslide;1;0;Downpour;Uva;;2011-02-01T09:00:00+01:00;47587;Badulla
329;-7.2809, 110.0069;Indonesia;Landslide;2;0;Downpour;Central Java;;2010-04-05T09:00:00+02:00;92990;Wonosobo
330;34.2896, -117.4787;United States;Debris_Flow;0;0;Downpour;California;;2011-02-19T09:00:00+01:00;8879;Oak Hills
331;-33.35, -70.5167;Chile;Landslide;0;0;Downpour;Santiago Metropolitan;;2009-09-08T09:00:00+02:00;15000;Villa Presidente Frei, ?u??oa, Santiago, Chile
332;24.634, 121.7541;Taiwan;Landslide;0;0;Downpour;Taiwan;;2011-10-03T09:00:00+02:00;94188;Yilan
333;35.3143, 74.1937;Pakistan;Landslide;0;0;Rain;Gilgit-Baltistan;;2011-05-11T09:00:00+02:00;0;Chilas
334;51.571, -4.2883;United Kingdom;Landslide;0;0;Snowfall_snowmelt;Wales;Wales Online;2014-01-22T09:00:00+01:00;7860;Burry Port
335;31.5785, 104.3531;China;Landslide;0;0;Downpour;Sichuan;www.bangkokpost.com;2013-07-09T09:00:00+02:00;0;Yongchang
336;-22.9652, -43.1992;Brazil;Landslide;0;0;Downpour;Rio de Janeiro;;2010-04-06T09:00:00+02:00;6023699;Rio de Janeiro
337;31.0053, 108.9523;China;Landslide;11;0;Downpour;Sichuan;People's Daily;2014-09-01T09:00:00+02:00;0;Yunyang
338;29.6131, 79.494;India;Landslide;0;0;Downpour;Uttarakhand;;2010-09-19T09:00:00+02:00;19873;R?n??khet
339;-22.411, -43.0304;Brazil;Landslide;0;0;Downpour;Rio de Janeiro;;2011-01-12T09:00:00+01:00;123979;Teres??polis
