id;geopoint;country;landslide;fatalities;injuries;trigger;admin;sourcename;date;population;near
1525;27.9654, 84.4107;Nepal;Landslide;0;0;Downpour;Western Region;;2011-07-02T09:00:00+02:00;0;Lamjung
1526;31.8931, 78.63;India;Landslide;0;0;Mining_digging;Himachal Pradesh;articles.timesofindia.indiatimes.com;2013-07-27T09:00:00+02:00;0;Diyag
1527;11.8861, 108.2058;Vietnam;Complex;0;0;Rain;L??m ???ng;;2008-05-02T09:00:00+02:00;197000;??? L???t
1528;28.0004, 84.033;Nepal;Landslide;1;0;Downpour;Western Region;;2011-06-30T09:00:00+02:00;21867;W?ling
1529;-45.9034, 170.0982;New Zealand;Landslide;0;0;Downpour;Otago;;2010-05-29T09:00:00+02:00;2009;Milton
1530;7.5206, 80.7014;Sri Lanka;Landslide;0;0;Downpour;Central;;2011-02-08T09:00:00+01:00;111701;Kandy
1531;45.2309, -121.7017;United States;Complex;0;0;Downpour;Oregon;;2011-01-16T09:00:00+01:00;4864;Mount Hood Village
1532;-0.6273, -78.3664;Ecuador;Mudslide;0;0;Downpour;Pichincha;;2011-02-14T09:00:00+01:00;25742;Machachi
1533;39.5366, -111.1562;United States;Debris_Flow;0;0;Rain;Utah;www.sltrib.com;2013-08-01T09:00:00+02:00;3260;Mount Pleasant
1534;47.7307, -121.4089;United States;Mudslide;0;0;Downpour;Washington;;2010-12-12T09:00:00+01:00;2075;Gold Bar
1535;27.6, 87.24;Nepal;Landslide;0;0;Downpour;Eastern Region;;2008-07-22T09:00:00+02:00;22903;Kh?ndb?ri
1536;24.5436, 121.8279;Taiwan;Mudslide;9;0;Tropical_Cyclone;Taiwan;;2010-10-21T09:00:00+02:00;94188;Yilan
1537;29.0697, 82.106;Nepal;Landslide;0;0;Downpour;Mid Western;www.myrepublica.com;2013-06-18T09:00:00+02:00;9073;Jumla
1538;41.5494, -124.0643;United States;Landslide;0;0;Downpour;California;;2011-04-02T09:00:00+02:00;2436;Bertsch-Oceanview
1539;20.87, 92.5275;Myanmar (Burma);Landslide;17;0;Downpour;Rakhine;;2010-06-15T09:00:00+02:00;40557;Tekn?f
1540;-38.6358, 143.8911;Australia;Landslide;0;0;Downpour;Victoria;;2011-01-12T09:00:00+01:00;1777;Apollo Bay
1541;27.3425, 88.2426;India;Landslide;5;0;Downpour;Sikkim;sciencythoughts.blogspot.com;2013-09-01T09:00:00+02:00;1147;Namchi
1542;-6.6392, 106.8343;Indonesia;Landslide;0;0;Downpour;West Java;;2011-11-03T08:00:00+01:00;800000;Bogor
1543;13.949, 124.21;Philippines;Landslide;0;0;Tropical_Cyclone;Bicol;gmanews.tv;2007-11-23T09:00:00+01:00;2452;Tubli
1544;24.5646, 120.8922;Taiwan;Mudslide;2;0;Tropical_Cyclone;Taiwan;;2008-09-14T09:00:00+02:00;0;Miaoli
1545;9.9323, -84.4453;Costa Rica;Landslide;0;0;Downpour;Alajuela;;2010-04-14T09:00:00+02:00;14448;Desamparados
1546;-0.9035, 100.4243;Indonesia;Landslide;4;0;Downpour;West Sumatra;;2012-09-12T09:00:00+02:00;0;Lubukbergalung
1547;5.9657, 116.6037;Malaysia;Landslide;0;0;Downpour;Sabah;;2011-02-07T09:00:00+01:00;19294;Ranau
1548;37.0456, -121.9396;United States;Mudslide;0;0;Downpour;California;;2010-02-24T09:00:00+01:00;9644;Soquel
1549;9.7112, -84.2812;Costa Rica;Landslide;0;0;Tropical_Cyclone;San Jos??;;2010-11-04T08:00:00+01:00;22433;Tejar
1550;13.7143, 124.3807;Philippines;Landslide;0;0;Rain;Bicol;News.Balita;2007-11-04T08:00:00+01:00;0;Baras
1551;19.6699, 73.5111;India;Landslide;0;0;Rain;Maharashtra;;2011-07-12T09:00:00+02:00;35461;Igatpuri
1552;-7.412, 109.8852;Indonesia;Landslide;3;0;Downpour;Central Java;;2010-02-28T09:00:00+01:00;92990;Wonosobo
1553;10.5029, -66.9323;Venezuela;Landslide;2;0;Downpour;Distrito Federal;;2010-11-29T09:00:00+01:00;3000000;Caracas
1554;27.2482, 105.2893;China;Landslide;6;2;Rain;Guizhou Sheng;Global Post;2014-07-17T09:00:00+02:00;77645;Bijie
1555;36.3969, -119.8086;United States;Mudslide;0;0;Downpour;California;;2010-01-21T09:00:00+01:00;3153;Riverdale
1556;44.9353, -73.0531;United States;Mudslide;0;0;Downpour;Vermont;;2011-05-04T09:00:00+02:00;2386;Swanton
1557;15.6308, -61.441;Dominica;Landslide;0;0;Downpour;Saint John;dominicanewsonline.com;2013-12-24T09:00:00+01:00;3633;Portsmouth
1558;16.4979, 120.6559;Philippines;Rockfall;0;0;Downpour;Cordillera Administrative Region;;2010-08-30T09:00:00+02:00;6371;Loacan
1559;39.8842, -79.8521;United States;Mudslide;0;0;Downpour;Pennsylvania;;2011-05-13T09:00:00+02:00;3450;Masontown
1560;23.7, 113.4;China;Mudslide;0;0;Tropical_Cyclone;Guangdong;;2008-08-06T09:00:00+02:00;0;Longshan
1561;39.8591, 22.5301;Greece;Complex;1;0;Rain;Thessaly;;2009-12-17T09:00:00+01:00;2113;G??nnoi
1562;42.3562, 43.9063;Georgia;Landslide;0;0;Downpour;Javis Raioni;;2010-03-10T09:00:00+01:00;426;Java
1563;19.0263, 72.8676;India;Landslide;2;1;Downpour;Maharashtra;www.hindustantimes.com;2013-07-10T09:00:00+02:00;12691836;Mumbai
1564;41.1838, -74.5187;United States;Landslide;0;0;Downpour;New Jersey;;2011-08-15T09:00:00+02:00;4933;Highland Lake
1565;37.9051, -122.6035;United States;Landslide;0;0;Downpour;California;;2012-03-31T09:00:00+02:00;13903;Mill Valley
1566;5.373, 100.2802;Malaysia;Mudslide;0;0;Continuous_rain;Pulau Pinang;The Star;2014-09-26T09:00:00+02:00;140849;Kampung Sungai Ara
1567;37.2743, -107.9352;United States;Rockfall;0;0;Downpour;Colorado;;2010-07-23T09:00:00+02:00;16887;Durango
1568;29.0396, 81.2519;Nepal;Landslide;3;0;Downpour;Far Western;;2011-07-02T09:00:00+02:00;0;Achh?m
1569;45.713, -122.7251;United States;Landslide;0;0;Rain;Washington;King 5;2015-02-06T09:00:00+01:00;2344;Kalama
1570;-0.267, -78.5109;United States;Mudslide;5;0;Downpour;Pichincha;;2011-05-03T09:00:00+02:00;1399814;Quito
1571;36.8607, -121.687;United States;Mudslide;0;0;Downpour;California;;2010-02-26T09:00:00+01:00;3024;Las Lomas
1572;27.6969, 111.9933;China;Landslide;0;0;Rain;Hunan;www.china.org.cn;2013-03-26T08:00:00+01:00;150684;Loudi
1573;37.6456, -121.9157;United States;Landslide;0;0;Downpour;California;;2011-03-25T08:00:00+01:00;70285;Pleasanton
1574;45.4818, -122.6513;United States;Landslide;0;0;Downpour;Oregon;;2011-03-01T09:00:00+01:00;20291;Milwaukie
1575;12.901, 74.8888;India;Landslide;0;0;Downpour;Karnataka;;2010-06-27T09:00:00+02:00;417387;Mangalore
1576;5.34, 100.24;Malaysia;Landslide;0;0;Downpour;Pulau Pinang;;2008-09-30T09:00:00+02:00;140849;Kampung Sungai Ara
1577;26.1097, 91.7747;India;Landslide;1;0;Rain;Assam;Assam Tribune;2014-09-22T09:00:00+02:00;2000;Dispur
1578;10.3504, 123.8815;Philippines;Landslide;0;0;Continuous_rain;Central Visayas;www.sunstar.com.ph;2013-07-28T09:00:00+02:00;798634;Cebu City
1579;26.1309, 91.8383;India;Landslide;1;0;Downpour;Assam;articles.timesofindia.indiatimes.com;2013-10-06T09:00:00+02:00;2000;Dispur
1580;10.124, -61.5329;Trinidad and Tobago;Mudslide;0;0;Downpour;Siparia;Newsday;2014-10-23T09:00:00+02:00;8568;Siparia
1581;13.1614, 123.3344;Philippines;Landslide;0;0;Tropical_Cyclone;Bicol;;2011-05-08T09:00:00+02:00;6864;Pantao
1582;11.2311, 124.979;Philippines;Landslide;0;0;Downpour;Eastern Visayas;;2011-03-16T08:00:00+01:00;189090;Panalanoy
1583;18.1578, -66.479;Puerto Rico;Landslide;0;0;Unknown;Villalba;Villalba Online;2014-11-07T09:00:00+01:00;4555;Villalba
1584;6.503, 124.7817;Philippines;Landslide;0;0;Downpour;Soccsksargen;www.interaksyon.com;2013-10-21T09:00:00+02:00;2153;Libas
1585;39.3838, 113.146;China;Landslide;2;0;Rain;Shanxi Sheng;;2012-04-01T09:00:00+02:00;0;Xiamayu
1586;26.1548, 91.7351;India;Landslide;4;0;Downpour;Assam;;2011-09-23T09:00:00+02:00;899094;Guwahati
1587;47.2185, 8.8888;Switzerland;Landslide;0;0;Rain;Saint Gallen;triathlete-europe.competitor.com;2013-06-02T09:00:00+02:00;9175;Eschenbach
1588;41.5687, 41.958;Georgia;Landslide;0;0;Downpour;Ajaria;;2012-04-06T09:00:00+02:00;0;Keda
1589;38.6401, -122.8778;United States;Landslide;0;0;Downpour;California;;2011-03-24T08:00:00+01:00;11254;Healdsburg
1590;34.2174, -117.0747;United States;Rockfall;0;0;Downpour;California;;2010-12-22T09:00:00+01:00;4862;Running Springs
1591;47.9161, -122.3189;United States;Mudslide;0;0;Unknown;Washington;Seattle Times;2014-11-29T09:00:00+01:00;20254;Mukilteo
1592;40.5175, -81.4305;United States;Landslide;0;0;Rain;Ohio;Canton Rep.com;2007-03-22T08:00:00+01:00;17288;New Philadelphia
1593;33.0648, -117.3049;United States;Landslide;0;0;Downpour;California;;2010-12-22T09:00:00+01:00;59518;Encinitas
1594;27.0605, 88.255;India;Landslide;0;0;Downpour;Bengal;;2011-09-25T09:00:00+02:00;123797;D?rjiling
1595;40.5093, -111.8316;United States;Complex;0;0;Downpour;Utah;;2010-08-19T09:00:00+02:00;42274;Draper
1596;2.6752, -75.6447;Colombia;Rockfall;5;0;Rain;Huila;english.cri.cn;2013-07-25T09:00:00+02:00;3942;?quira
1597;14.651, -90.5403;Guatemala;Complex;8;0;Rain;Guatemala;;2008-06-18T09:00:00+02:00;994938;Guatemala City
1598;26.8716, 94.9921;India;Landslide;0;0;Downpour;N?g?land;;2010-07-20T09:00:00+02:00;18742;Mon
1599;24.3311, 91.5642;Bangladesh;Other;2;0;Mining_digging;Sylhet;Daily Star;2015-02-09T09:00:00+01:00;88760;Habiganj
1600;56.2266, -4.8567;United Kingdom;Landslide;0;0;Downpour;Scotland;BBC News GlasGow and West Scotland;2014-01-14T09:00:00+01:00;1296;Garelochhead
1601;50.5854, -127.0961;Canada;Landslide;0;0;Downpour;British Columbia;;2011-11-25T09:00:00+01:00;33430;Campbell River
1602;60.0484, -130.9916;Canada;Mudslide;0;0;Downpour;Yukon;;2012-06-09T09:00:00+02:00;1547;Watson Lake
1603;33.303, 77.8876;India;Landslide;0;0;Downpour;Kashmir;;2012-09-16T09:00:00+02:00;25000;Padam
1604;52.9903, -119.3106;Canada;Mudslide;0;0;Rain;Alberta;globalnews.ca;2013-06-07T09:00:00+02:00;3907;Jasper Park Lodge
1605;65.9794, -21.4541;Iceland;Mudslide;0;0;Rain;Westfjords;Iceland Review;2014-07-10T09:00:00+02:00;2624;?safj??r??ur
1606;30.0315, 101.0144;China;Debris_Flow;0;0;Downpour;Sichuan;;2011-07-14T09:00:00+02:00;0;Gaocheng
1607;48.5473, -120.7645;United States;Debris_Flow;0;0;Downpour;Washington;methowvalleynews.com;2013-08-11T09:00:00+02:00;1347;Darrington
1608;-32.8224, -69.9146;Argentina;Landslide;0;0;Rain;Mendoza;www.news.com.au;2013-02-13T09:00:00+01:00;56859;Los Andes
1609;-44.765, 167.9904;New Zealand;Landslide;0;0;Downpour;Otago;www.stuff.co.nz;2013-09-10T09:00:00+02:00;10442;Queenstown
1610;-46.7748, 167.6337;New Zealand;Landslide;0;0;Downpour;Southland;3 News;2014-05-20T09:00:00+02:00;1651;Riverton
1611;27.7276, 88.0446;Nepal;Landslide;0;0;Downpour;Eastern Region;;2010-08-29T09:00:00+02:00;1464;Mangan
1612;-22.2832, -64.2333;Bolivia;Landslide;2;0;Downpour;Tarija;RT;2014-01-25T09:00:00+01:00;60819;Tartagal
1613;1.5928, 35.5673;Kenya;Landslide;0;0;Downpour;West Pokot;;2011-07-28T09:00:00+02:00;1073;Chepareria
1614;30.6945, 79.0544;India;Landslide;13;0;Downpour;Uttarakhand;ibnlive.in.com;2013-06-17T09:00:00+02:00;2571;Rudrapray?g
1615;24.9926, 93.4946;India;Mudslide;0;0;Rain;Assam;www.e-pao.net;2013-05-12T09:00:00+02:00;7176;Mahur
1616;32.4035, 77.5796;India;Landslide;0;0;Downpour;Himachal Pradesh;;2009-09-10T09:00:00+02:00;8341;Man?li
1617;36.0082, -121.5106;United States;Mudslide;0;0;Downpour;California;;2010-03-06T09:00:00+01:00;12874;King City
1618;28.3922, 83.1913;Nepal;Landslide;0;0;Downpour;Western Region;www.ekantipur.com;2013-09-03T09:00:00+02:00;23296;B?glung
1619;33.7576, -109.2835;United States;Landslide;0;0;Downpour;Arizona;www.therepublic.com;2013-07-19T09:00:00+02:00;4885;Eagar
1620;-25.0209, -51.5288;Brazil;Landslide;3;0;Downpour;Paran??;;2011-03-09T09:00:00+01:00;18652;Pitanga
1621;25.1333, 93.9667;India;Landslide;0;0;Rain;Manipur;kanglaonline.com;2007-08-31T09:00:00+02:00;223523;Imphal
1622;27.5002, 86.5833;Nepal;Landslide;0;0;Downpour;Eastern Region;;2012-09-17T09:00:00+02:00;2324;Namche Bazar
1623;-39.9455, 176.9248;New Zealand;Landslide;0;0;Downpour;Hawke's Bay;;2011-04-26T09:00:00+02:00;61696;Hastings
1624;26.1095, 103.1552;China;Landslide;9;0;Continuous_rain;Yunnan;People's Daily;2014-10-28T08:00:00+01:00;0;Jinzhong
1625;34.6644, 73.4637;Pakistan;Landslide;0;0;Downpour;Azad Kashmir;;2010-10-07T09:00:00+02:00;725000;Muzaffar?b?d
1626;25.0672, 93.4093;India;Landslide;0;0;Downpour;Assam;;2011-05-22T09:00:00+02:00;7176;Mahur
1627;12.3506, -84.8089;Nicaragua;Landslide;0;0;Continuous_rain;Chontales;Correspondence with Wilfried Strauch;2014-06-23T09:00:00+02:00;5827;Santo Domingo
1628;27.137, 103.95;China;Landslide;6;0;Rain;Yunnan;;2008-09-18T09:00:00+02:00;109400;Zhaotong
1629;36.2629, -115.6158;United States;Debris_Flow;0;0;Rain;Nevada;www.lasvegassun.com;2013-07-12T09:00:00+02:00;24085;Summerlin South
1630;30.5345, 79.0853;India;Landslide;0;0;Rain;Uttarakhand;www.thehindu.com;2013-10-18T09:00:00+02:00;2571;Rudrapray?g
1631;8.8313, 105.2523;Vietnam;Landslide;0;0;Rain;B???c Li??u;;2008-11-12T09:00:00+01:00;0;Th?? Tr???n G??nh H??o
1632;29.5326, 82.1482;Nepal;Landslide;0;0;Downpour;Mid Western;www.ekantipur.com;2013-06-18T09:00:00+02:00;9073;Jumla
1633;36.5011, 74.8899;Pakistan;Landslide;0;0;Downpour;Gilgit-Baltistan;;2010-07-29T09:00:00+02:00;2005;Barish?l
1634;40.2695, -124.2112;United States;Landslide;0;0;Rain;California;;2012-03-30T09:00:00+02:00;3368;Rio Dell
1635;6.9634, 80.3643;Sri Lanka;Landslide;2;0;Downpour;Central;;2008-04-28T09:00:00+02:00;15073;Hatton
1636;45.3871, -114.0541;United States;Debris_Flow;0;0;Downpour;Idaho;www.ravallirepublic.com;2013-08-29T09:00:00+02:00;3112;Salmon
1637;27.891, 85.149;Nepal;Landslide;1;0;Rain;Central Region;;2011-09-25T09:00:00+02:00;44632;Kirtipur
1638;27.8494, 84.61;Nepal;Landslide;0;0;Downpour;Central Region;;2010-09-17T09:00:00+02:00;107157;Bharatpur
1639;31.6223, 78.0193;India;Landslide;5;0;Downpour;Himachal Pradesh;zeenews.india.com;2013-06-17T09:00:00+02:00;1495;Sar?han
1640;27.0524, 90.4997;Bhutan;Landslide;0;0;Downpour;Shemgang;;2009-10-06T09:00:00+02:00;852;Shemgang
1641;39.561, -111.1754;United States;Debris_Flow;0;0;Downpour;Utah;;2012-09-02T09:00:00+02:00;1247;Fairview
1642;10.0222, 106.5408;Vietnam;Landslide;0;0;Rain;Tr?? Vinh;tuoitrenews.vn;2013-01-31T09:00:00+01:00;57408;Tr?? Vinh
1643;-6.083, 145.1667;Papua New Guinea;Mudslide;9;3;Downpour;Chimbu;www.islandsbusiness.com;2013-11-02T08:00:00+01:00;9383;Kundiawa
1644;27.7167, 88.5577;India;Landslide;0;0;Downpour;;;2012-06-03T09:00:00+02:00;1464;Mangan
1645;40.2464, -111.6276;United States;Landslide;0;0;Downpour;Utah;www.upi.com;2013-09-07T09:00:00+02:00;112488;Provo
1646;39.7295, 119.1614;China;Landslide;5;0;Unknown;Hebei;www.nzweek.com;2013-11-16T09:00:00+01:00;64476;Changli
1647;7.2805, 80.6136;Sri Lanka;Landslide;0;0;Downpour;Central;;2010-12-04T09:00:00+01:00;111701;Kandy
1648;30.383, 78.5094;India;Landslide;2;0;Downpour;Uttarakhand;;2010-02-23T09:00:00+01:00;27611;Tehri
1649;33.8071, -116.9435;United States;Landslide;0;0;Downpour;California;;2010-12-22T09:00:00+01:00;44199;San Jacinto
1650;10.335, 123.8725;Philippines;Landslide;0;0;Rain;Central Visayas;;2013-07-21T09:00:00+02:00;798634;Cebu City
1651;-22.9087, -43.1014;Brazil;Landslide;0;0;Downpour;Rio de Janeiro;;2010-04-06T09:00:00+02:00;456456;Niter??i
1652;9.0655, -79.5516;Panama;Landslide;0;0;Downpour;Panam??;www.newsroompanama.com;2013-09-29T09:00:00+02:00;69102;Las Cumbres
1653;55.7584, -1.9942;United Kingdom;Landslide;0;0;Downpour;England;;2012-06-29T09:00:00+02:00;26000;Berwick-Upon-Tweed
1654;37.5689, 70.5487;Afghanistan;Landslide;0;0;Downpour;Badakhshan;;2010-05-21T09:00:00+02:00;0;Z??rak??
1655;40.4338, -111.741;United States;Landslide;0;0;Downpour;Utah;www.heraldextra.com;2013-07-06T09:00:00+02:00;9796;Cedar Hills
1656;3.1618, 101.6983;Malaysia;Landslide;0;0;Rain;Kuala Lumpur;thestar.com.my;2013-05-08T09:00:00+02:00;1453975;Kuala Lumpur
1657;-0.6811, 119.762;Indonesia;Landslide;6;0;Rain;Central Sulawesi;People's Daily Online;2007-01-31T09:00:00+01:00;0;Donggala
1658;39.0177, 16.1928;Italy;Mudslide;1;0;Downpour;Calabria;;2011-03-01T09:00:00+01:00;988;Falerna
1659;43.0266, -76.3302;United States;Mudslide;0;0;Downpour;New York;www.syracuse.com;2013-05-29T09:00:00+02:00;1213;Camillus
1660;10.6771, -61.4982;Trinidad and Tobago;Landslide;0;0;Downpour;City of Port of Spain;;2012-09-16T09:00:00+02:00;49031;Port-of-Spain
1661;29.3802, 79.4633;India;Landslide;6;0;Rain;Uttarakhand;www.newsworms.com;2013-07-12T09:00:00+02:00;42309;Naini T?l
1662;10.509, 124.9789;Philippines;Landslide;0;0;Downpour;Eastern Visayas;;2011-03-16T08:00:00+01:00;2730;Polahongon
1663;30.895, 77.089;India;Rockfall;1;0;Unknown;Himachal Pradesh;;2008-12-21T09:00:00+01:00;40283;Solan
1664;24.2315, 92.6755;India;Mudslide;0;0;Rain;Mizoram;www.thehindu.com;2013-05-07T09:00:00+02:00;25000;Kolasib
1665;28.2154, 110.2225;China;Landslide;0;0;Downpour;Hunan;;2010-05-18T09:00:00+02:00;0;Baisha
1666;11.25, 125.0;Philippines;Landslide;0;0;Downpour;Eastern Visayas;;2011-01-02T09:00:00+01:00;189090;Panalanoy
1667;44.6467, 7.6639;Italy;Mudslide;0;0;Downpour;Piedmont;;2008-05-30T09:00:00+02:00;16800;Savigliano
1668;30.15, 78.7753;India;Landslide;0;0;Downpour;Uttarakhand;;2011-06-30T09:00:00+02:00;26514;Pauri
1669;5.0742, -75.5197;Colombia;Landslide;48;0;Downpour;Caldas;;2011-11-04T08:00:00+01:00;357814;Manizales
1670;50.8378, -118.9805;Canada;Mudslide;0;0;Downpour;British Columbia;;2012-04-26T09:00:00+02:00;2732;Sicamous
1671;6.8426, 125.4137;Philippines;Landslide;0;0;Rain;Davao;www.gmanetwork.com;2013-02-25T09:00:00+01:00;0;Santa Cruz
1672;51.3512, -2.9735;United Kingdom;Mudslide;0;0;Downpour;England;;2012-09-26T09:00:00+02:00;82903;Weston-super-Mare
1673;31.1, 77.17;India;Landslide;0;0;Downpour;Himachal Pradesh;;2010-06-09T09:00:00+02:00;173503;Shimla
1674;31.1, 77.17;India;Landslide;0;0;Downpour;Himachal Pradesh;;2011-07-12T09:00:00+02:00;173503;Shimla
1675;45.9, 8.5968;Italy;Landslide;2;0;Downpour;Lombardy;Today's Zaman;2014-11-15T09:00:00+01:00;8130;Laveno
1676;9.6514, 124.3655;Philippines;Landslide;0;0;Downpour;Central Visayas;;2011-10-12T09:00:00+02:00;0;Jagna
1677;27.32, 103.72;China;Landslide;14;0;Continuous_rain;Yunnan;Inquirer.net;2007-08-25T09:00:00+02:00;109400;Zhaotong
1678;33.7705, 74.0967;India;Landslide;0;0;Downpour;Kashmir;www.kashmirtimes.in;2013-08-14T09:00:00+02:00;28197;P??nch
1679;-41.2737, 173.287;New Zealand;Complex;0;0;Downpour;Nelson;;2011-05-27T09:00:00+02:00;59200;Nelson
1680;15.5931, 73.8119;India;Landslide;0;0;Rain;Goa;;2011-06-17T09:00:00+02:00;40122;M?puca
1681;12.8414, 101.1186;Thailand;Mudslide;0;0;Downpour;Rayong;;2009-09-19T09:00:00+02:00;0;Nikhom Phattana
1682;55.4119, -131.7228;United States;Landslide;0;0;Downpour;Alaska;KRBD Ketchikan FM Community Radio for Southern Southeast Alaska;2014-01-14T09:00:00+01:00;8050;Ketchikan
1683;14.6759, 121.2397;Philippines;Landslide;17;0;Tropical_Cyclone;Calabarzon;;2009-09-27T09:00:00+02:00;5666;Pinugay
1684;33.9385, -117.1324;United States;Landslide;0;0;Downpour;California;;2010-12-28T09:00:00+01:00;193365;Moreno Valley
1685;46.1905, 7.5449;Switzerland;Debris_Flow;0;0;Rain;Valais;;2011-06-04T09:00:00+02:00;2665;Chalais
1686;3.4267, 101.7926;Indonesia;Landslide;0;0;Rain;;;2012-11-10T09:00:00+01:00;12346;Kampung Bukit Tinggi
1687;-4.5419, 105.2198;Indonesia;Landslide;0;0;Monsoon;Lampung;www.thejakartapost.com;2013-07-29T09:00:00+02:00;0;Menggala
1688;-22.7694, -43.108;Brazil;Landslide;0;0;Downpour;Rio de Janeiro;;2010-04-06T09:00:00+02:00;0;S??o Gon??alo
1689;10.0757, -83.9822;Costa Rica;Mudslide;0;0;Downpour;San Jos??;Tico Times;2015-02-06T09:00:00+01:00;0;Dulce Nombre de Jesus
1690;40.7667, -111.7667;United States;Rockfall;0;0;Rain;Utah;;2009-04-15T09:00:00+02:00;10062;Canyon Rim
1691;37.0379, -88.0267;United States;Landslide;0;0;Downpour;Kentucky;;2011-04-25T09:00:00+02:00;2554;Eddyville
1692;27.1344, 88.4575;India;Landslide;0;0;Downpour;Bengal;;2009-08-20T09:00:00+02:00;43000;K?limpang
1693;26.1295, 91.7056;India;Landslide;0;0;Rain;Assam;Assam Tribune;2014-09-22T09:00:00+02:00;899094;Guwahati
1694;6.0366, 7.0888;Nigeria;Landslide;0;0;Rain;Anambra;;2012-06-15T09:00:00+02:00;75224;Igbo-Ukwu
1695;-6.621, 106.7306;Indonesia;Landslide;4;0;Downpour;West Java;;2010-11-15T09:00:00+01:00;800000;Bogor
1696;-10.3838, -75.4267;Peru;Complex;0;0;Rain;Pasco;My Opera;2007-01-03T09:00:00+01:00;0;Huancabamba
1697;20.7715, -156.2414;United States;Landslide;0;0;Unknown;Hawaii;KITV;2015-01-03T09:00:00+01:00;7184;Makawao
1698;34.6651, 73.961;India;Landslide;0;0;Downpour;Azad Kashmir;Greater Kashmir Srinagar;2014-03-18T08:00:00+01:00;0;Athmuqam
1699;-8.1955, 111.1038;Indonesia;Landslide;0;0;Rain;East Java;;2008-01-06T09:00:00+01:00;0;Krajan
1700;35.9, 104.2214;China;Landslide;0;0;Unknown;Gansu Sheng;Shanghai Daily;2014-08-16T09:00:00+02:00;0;Yuzhong Chengguanzhen
1701;17.1833, -96.1833;Mexico;Mudslide;2;0;Tropical_Cyclone;Oaxaca;;2010-09-30T09:00:00+02:00;1096;Tanetze de Zaragoza
1702;39.9638, -111.2517;United States;Mudslide;0;0;Downpour;Utah;www.sunad.com;2013-09-02T09:00:00+02:00;7979;Mapleton
1703;42.1633, -74.4086;United States;Landslide;0;0;Rain;New York;The Daily Mail;2014-05-15T09:00:00+02:00;1183;Shokan
1704;43.5735, -91.2006;United States;Rockfall;0;0;Downpour;Minnesota;news.wpr.org;2013-06-25T09:00:00+02:00;2868;Caledonia
1705;24.4267, 98.5852;China;Mudslide;10;4;Tropical_Cyclone;Yunnan;Shanghai Daily;2014-07-21T09:00:00+02:00;0;Longshan
1706;-23.0189, -43.4788;Brazil;Landslide;0;0;Downpour;Rio de Janeiro;;2010-04-06T09:00:00+02:00;147281;Nil??polis
1707;-7.6511, 111.1835;Indonesia;Landslide;0;0;Rain;Central Java;Dispatch.com;2007-12-26T09:00:00+01:00;50059;Jatiroto
1708;22.6368, 92.1453;Bangladesh;Mudslide;3;0;Downpour;Chittagong;Red Cross - Field reports;2007-06-11T09:00:00+02:00;25708;Raoj?n
1709;36.3812, 52.8557;Iran;Landslide;0;0;Unknown;M?zandar?n;en.trend.az;2013-11-27T09:00:00+01:00;202796;B?bol
1710;29.607, 79.9298;India;Landslide;0;0;Downpour;Uttarakhand;;2011-06-29T09:00:00+02:00;32442;Almora
1711;43.8161, -115.2846;United States;Landslide;0;0;Downpour;Idaho;www.elmorecounty.org;2013-09-29T09:00:00+02:00;485;Idaho City
1712;27.7923, 84.7001;Nepal;Landslide;0;0;Downpour;Central Region;;2012-09-18T09:00:00+02:00;107157;Bharatpur
1713;23.6539, 121.0134;Taiwan;Landslide;7;0;Tropical_Cyclone;Taiwan;;2008-09-15T09:00:00+02:00;19599;Lugu
1714;36.0739, 72.0406;Pakistan;Landslide;0;0;Snowfall_snowmelt;Khyber Pakhtunkhwa;Express Tribune;2015-02-25T09:00:00+01:00;0;Chitral
1715;46.7517, -121.9412;United States;Mudslide;0;0;Rain;Washington;KIRO;2015-01-05T09:00:00+01:00;2758;Eatonville
1716;34.6507, 74.7362;India;Rockfall;1;0;Rain;Kashmir;;2012-03-19T08:00:00+01:00;31978;Bandipura
1717;39.221, 71.188;Tajikistan;Landslide;1;0;Downpour;;Red Cross - Field reports;2007-04-01T09:00:00+02:00;2899;Karakenja
1718;25.8877, 94.7861;India;Mudslide;0;0;Monsoon;N?g?land;;2010-07-06T09:00:00+02:00;29499;Zunheboto
1719;-17.8893, 178.4779;Fiji;Landslide;0;0;Downpour;Central;;2011-06-27T09:00:00+02:00;77366;Suva
1720;12.3487, -84.8163;Nicaragua;Landslide;0;0;Continuous_rain;Chontales;Correspondence with Wilfried Strauch;2014-06-23T09:00:00+02:00;5827;Santo Domingo
1721;27.8126, 84.8051;Nepal;Landslide;0;0;Continuous_rain;Central Region;Republica;2014-07-18T09:00:00+02:00;107157;Bharatpur
1722;24.1965, 73.703;India;Landslide;0;0;Continuous_rain;Rajasthan;Times of India;2014-09-11T09:00:00+02:00;16557;S?l??mbar
1723;28.0872, 83.2935;Nepal;Landslide;9;0;Continuous_rain;Western Region;Khaleej Times;2014-06-20T09:00:00+02:00;23693;T?nsen
1724;50.469, -66.1496;Canada;Rock_Fall;1;0;Unknown;Quebec;CBC;2014-11-06T09:00:00+01:00;22582;Sept-?les
1725;45.2462, -116.3322;United States;Landslide;0;0;Rain;Idaho;;2012-12-02T09:00:00+01:00;2991;McCall
1726;29.1964, 81.7557;Nepal;Mudslide;6;0;Downpour;Mid Western;;2008-08-15T09:00:00+02:00;20908;Dailekh
